"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,21 Mar 2023 09:21:06.554,21 Mar 2023 09:25:01.979,235.425
81,21 Mar 2023 23:40:03.326,21 Mar 2023 23:43:58.128,234.803
82,22 Mar 2023 01:14:21.949,22 Mar 2023 01:15:46.323,84.374
83,22 Mar 2023 08:54:33.408,22 Mar 2023 08:58:17.293,223.884
84,22 Mar 2023 10:28:51.396,22 Mar 2023 10:31:06.412,135.016
85,22 Mar 2023 23:13:28.910,22 Mar 2023 23:17:05.022,216.112
86,23 Mar 2023 00:47:05.972,23 Mar 2023 00:50:00.684,174.712
87,23 Mar 2023 08:28:15.843,23 Mar 2023 08:31:24.457,188.614
88,23 Mar 2023 10:01:26.866,23 Mar 2023 10:04:53.080,206.214
89,23 Mar 2023 22:47:08.803,23 Mar 2023 22:49:49.439,160.635
90,24 Mar 2023 00:20:10.468,24 Mar 2023 00:23:47.643,217.175
91,24 Mar 2023 08:02:19.912,24 Mar 2023 08:04:17.013,117.102
92,24 Mar 2023 09:34:28.888,24 Mar 2023 09:38:21.449,232.560
93,24 Mar 2023 23:53:23.824,24 Mar 2023 23:57:18.420,234.596
94,25 Mar 2023 09:07:48.097,25 Mar 2023 09:11:40.563,232.466
95,25 Mar 2023 10:43:08.613,25 Mar 2023 10:43:41.307,32.694
96,25 Mar 2023 23:26:44.874,25 Mar 2023 23:30:33.810,228.936
97,26 Mar 2023 01:00:39.280,26 Mar 2023 01:02:59.016,139.736
98,26 Mar 2023 08:41:22.550,26 Mar 2023 08:44:52.040,209.490
99,26 Mar 2023 10:15:04.423,26 Mar 2023 10:18:03.394,178.971
100,26 Mar 2023 23:00:16.246,26 Mar 2023 23:03:30.877,194.631
101,27 Mar 2023 00:33:36.866,27 Mar 2023 00:36:56.406,199.540
102,27 Mar 2023 08:15:14.160,27 Mar 2023 08:17:53.592,159.432
103,27 Mar 2023 09:47:55.442,27 Mar 2023 09:51:38.682,223.240
104,27 Mar 2023 22:34:12.618,27 Mar 2023 22:35:54.609,101.991
105,28 Mar 2023 00:06:46.198,28 Mar 2023 00:10:34.910,228.712
106,28 Mar 2023 07:49:50.655,28 Mar 2023 07:50:17.083,26.428
107,28 Mar 2023 09:21:06.548,28 Mar 2023 09:25:01.973,235.425
108,28 Mar 2023 23:40:03.316,28 Mar 2023 23:43:58.123,234.806
109,29 Mar 2023 01:14:21.997,29 Mar 2023 01:15:46.262,84.265
110,29 Mar 2023 08:54:33.408,29 Mar 2023 08:58:17.280,223.871
111,29 Mar 2023 10:28:51.361,29 Mar 2023 10:31:06.437,135.077
112,29 Mar 2023 23:13:28.893,29 Mar 2023 23:17:05.023,216.130
113,30 Mar 2023 00:47:05.984,30 Mar 2023 00:50:00.659,174.675
114,30 Mar 2023 08:28:15.852,30 Mar 2023 08:31:24.434,188.583
115,30 Mar 2023 10:01:26.849,30 Mar 2023 10:04:53.086,206.237
116,30 Mar 2023 22:47:08.773,30 Mar 2023 22:49:49.453,160.680
117,31 Mar 2023 00:20:10.470,31 Mar 2023 00:23:47.628,217.158
118,31 Mar 2023 08:02:19.941,31 Mar 2023 08:04:16.970,117.029
119,31 Mar 2023 09:34:28.879,31 Mar 2023 09:38:21.446,232.567
120,31 Mar 2023 23:53:23.818,31 Mar 2023 23:57:18.411,234.593

