"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,7 Mar 2023 23:36:18.546,7 Mar 2023 23:47:38.816,680.270
81,8 Mar 2023 01:09:41.863,8 Mar 2023 01:20:23.349,641.486
82,8 Mar 2023 02:42:49.054,8 Mar 2023 02:52:06.032,556.977
83,8 Mar 2023 04:15:18.271,8 Mar 2023 04:23:37.452,499.182
84,8 Mar 2023 05:46:59.660,8 Mar 2023 05:55:48.728,529.067
85,8 Mar 2023 07:18:31.588,8 Mar 2023 07:28:45.198,613.610
86,8 Mar 2023 08:50:49.692,8 Mar 2023 09:02:04.851,675.159
87,8 Mar 2023 10:24:32.562,8 Mar 2023 10:35:29.907,657.345
88,8 Mar 2023 12:00:13.317,8 Mar 2023 12:08:41.491,508.174
89,8 Mar 2023 20:03:49.017,8 Mar 2023 20:08:21.523,272.506
90,8 Mar 2023 21:36:17.232,8 Mar 2023 21:45:59.119,581.887
91,8 Mar 2023 23:09:36.927,8 Mar 2023 23:20:52.672,675.745
92,9 Mar 2023 00:43:01.782,9 Mar 2023 00:54:01.488,659.706
93,9 Mar 2023 02:16:15.518,9 Mar 2023 02:25:57.572,582.054
94,9 Mar 2023 03:48:57.957,9 Mar 2023 03:57:26.089,508.132
95,9 Mar 2023 05:20:51.352,9 Mar 2023 05:29:22.998,511.647
96,9 Mar 2023 06:52:19.925,9 Mar 2023 07:02:08.582,588.656
97,9 Mar 2023 08:24:20.109,9 Mar 2023 08:35:23.734,663.625
98,9 Mar 2023 09:57:35.616,9 Mar 2023 10:08:48.791,673.175
99,9 Mar 2023 11:32:38.350,9 Mar 2023 11:42:07.222,568.872
100,9 Mar 2023 13:10:37.738,9 Mar 2023 13:14:22.426,224.688
101,9 Mar 2023 21:09:41.944,9 Mar 2023 21:18:27.615,525.671
102,9 Mar 2023 22:42:55.653,9 Mar 2023 22:53:58.053,662.399
103,10 Mar 2023 00:16:20.837,10 Mar 2023 00:27:33.591,672.754
104,10 Mar 2023 01:49:39.465,10 Mar 2023 01:59:46.731,607.266
105,10 Mar 2023 03:22:33.308,10 Mar 2023 03:31:17.321,524.013
106,10 Mar 2023 04:54:40.782,10 Mar 2023 05:03:01.538,500.756
107,10 Mar 2023 06:26:10.982,10 Mar 2023 06:35:34.337,563.355
108,10 Mar 2023 07:57:56.760,10 Mar 2023 08:08:43.395,646.634
109,10 Mar 2023 09:30:47.343,10 Mar 2023 09:42:07.230,679.887
110,10 Mar 2023 11:05:15.942,10 Mar 2023 11:15:29.685,613.742
111,10 Mar 2023 12:42:06.332,10 Mar 2023 12:48:20.313,373.980
112,10 Mar 2023 20:43:11.602,10 Mar 2023 20:50:41.661,450.058
113,10 Mar 2023 22:16:15.163,10 Mar 2023 22:26:54.201,639.037
114,10 Mar 2023 23:49:39.367,11 Mar 2023 00:00:58.907,679.540
115,11 Mar 2023 01:23:01.448,11 Mar 2023 01:33:32.272,630.824
116,11 Mar 2023 02:56:04.690,11 Mar 2023 03:05:09.787,545.097
117,11 Mar 2023 04:28:26.796,11 Mar 2023 04:36:44.441,497.645
118,11 Mar 2023 06:00:03.399,11 Mar 2023 06:09:03.049,539.650
119,11 Mar 2023 07:31:38.819,11 Mar 2023 07:42:04.214,625.395
120,11 Mar 2023 09:04:07.050,11 Mar 2023 09:15:25.590,678.540
121,11 Mar 2023 10:38:04.511,11 Mar 2023 10:48:50.156,645.645
122,11 Mar 2023 12:14:06.286,11 Mar 2023 12:21:56.698,470.411
123,11 Mar 2023 20:16:51.147,11 Mar 2023 20:22:36.091,344.945
124,11 Mar 2023 21:49:36.023,11 Mar 2023 21:59:40.243,604.220
125,11 Mar 2023 23:22:57.710,11 Mar 2023 23:34:16.759,679.048
126,12 Mar 2023 00:56:21.954,12 Mar 2023 01:07:13.115,651.161
127,12 Mar 2023 02:29:32.637,12 Mar 2023 02:39:02.003,569.366
128,12 Mar 2023 04:02:08.668,12 Mar 2023 04:10:31.356,502.688
129,12 Mar 2023 05:33:55.709,12 Mar 2023 05:42:35.334,519.625
130,12 Mar 2023 07:05:25.339,12 Mar 2023 07:15:26.619,601.281
131,12 Mar 2023 08:37:34.069,12 Mar 2023 08:48:44.214,670.146
132,12 Mar 2023 10:11:02.951,12 Mar 2023 10:22:09.433,666.482
133,12 Mar 2023 11:46:24.114,12 Mar 2023 11:55:24.885,540.771
134,12 Mar 2023 13:25:39.487,12 Mar 2023 13:26:41.144,61.657
135,12 Mar 2023 19:51:01.778,12 Mar 2023 19:53:49.554,167.776
136,12 Mar 2023 21:22:59.121,12 Mar 2023 21:32:14.994,555.872
137,12 Mar 2023 22:56:16.216,12 Mar 2023 23:07:26.461,670.245
138,13 Mar 2023 00:29:41.390,13 Mar 2023 00:40:48.335,666.945
139,13 Mar 2023 02:02:57.770,13 Mar 2023 02:12:52.520,594.750
140,13 Mar 2023 03:35:46.159,13 Mar 2023 03:44:21.445,515.286
141,13 Mar 2023 05:07:46.437,13 Mar 2023 05:16:11.706,505.269
142,13 Mar 2023 06:39:15.195,13 Mar 2023 06:48:51.113,575.918
143,13 Mar 2023 08:11:07.701,13 Mar 2023 08:22:03.441,655.740
144,13 Mar 2023 09:44:10.437,13 Mar 2023 09:55:28.036,677.599
145,13 Mar 2023 11:18:55.682,13 Mar 2023 11:28:48.769,593.086
146,13 Mar 2023 12:56:16.144,13 Mar 2023 13:01:26.012,309.868
147,13 Mar 2023 20:56:25.938,13 Mar 2023 21:04:36.665,490.727
148,13 Mar 2023 22:29:35.268,13 Mar 2023 22:40:27.325,652.058
149,14 Mar 2023 00:03:00.138,14 Mar 2023 00:14:17.137,676.999
150,14 Mar 2023 01:36:20.674,14 Mar 2023 01:46:40.020,619.346
151,14 Mar 2023 03:09:19.465,14 Mar 2023 03:18:13.478,534.014
152,14 Mar 2023 04:41:34.275,14 Mar 2023 04:49:52.439,498.164
153,14 Mar 2023 06:13:07.115,14 Mar 2023 06:22:18.273,551.159
154,14 Mar 2023 07:44:47.165,14 Mar 2023 07:55:23.624,636.459
155,14 Mar 2023 09:17:26.238,14 Mar 2023 09:28:46.390,680.152
156,14 Mar 2023 10:51:38.924,14 Mar 2023 11:02:10.112,631.188
157,14 Mar 2023 12:28:03.624,14 Mar 2023 12:35:09.955,426.331
158,14 Mar 2023 20:29:59.559,14 Mar 2023 20:36:41.906,402.346
159,14 Mar 2023 22:02:55.365,14 Mar 2023 22:13:18.549,623.184
160,14 Mar 2023 23:36:18.533,14 Mar 2023 23:47:38.804,680.271
161,15 Mar 2023 01:09:41.858,15 Mar 2023 01:20:23.332,641.474
162,15 Mar 2023 02:42:49.057,15 Mar 2023 02:52:06.008,556.951
163,15 Mar 2023 04:15:18.278,15 Mar 2023 04:23:37.423,499.146
164,15 Mar 2023 05:46:59.664,15 Mar 2023 05:55:48.700,529.036
165,15 Mar 2023 07:18:31.585,15 Mar 2023 07:28:45.178,613.593
166,15 Mar 2023 08:50:49.683,15 Mar 2023 09:02:04.838,675.156
167,15 Mar 2023 10:24:32.546,15 Mar 2023 10:35:29.902,657.356
168,15 Mar 2023 12:00:13.289,15 Mar 2023 12:08:41.500,508.211
169,15 Mar 2023 20:03:48.955,15 Mar 2023 20:08:21.555,272.600
170,15 Mar 2023 21:36:17.206,15 Mar 2023 21:45:59.117,581.911
171,15 Mar 2023 23:09:36.912,15 Mar 2023 23:20:52.662,675.750
172,16 Mar 2023 00:43:01.774,16 Mar 2023 00:54:01.472,659.698
173,16 Mar 2023 02:16:15.518,16 Mar 2023 02:25:57.550,582.032
174,16 Mar 2023 03:48:57.964,16 Mar 2023 03:57:26.061,508.097
175,16 Mar 2023 05:20:51.357,16 Mar 2023 05:29:22.969,511.612
176,16 Mar 2023 06:52:19.924,16 Mar 2023 07:02:08.559,588.634
177,16 Mar 2023 08:24:20.102,16 Mar 2023 08:35:23.719,663.617
178,16 Mar 2023 09:57:35.602,16 Mar 2023 10:08:48.784,673.182
179,16 Mar 2023 11:32:38.327,16 Mar 2023 11:42:07.226,568.900
180,16 Mar 2023 13:10:37.667,16 Mar 2023 13:14:22.480,224.813
181,16 Mar 2023 21:09:41.913,16 Mar 2023 21:18:27.617,525.704
182,16 Mar 2023 22:42:55.636,16 Mar 2023 22:53:58.045,662.409
183,17 Mar 2023 00:16:20.827,17 Mar 2023 00:27:33.577,672.749
184,17 Mar 2023 01:49:39.464,17 Mar 2023 01:59:46.711,607.248
185,17 Mar 2023 03:22:33.313,17 Mar 2023 03:31:17.294,523.982
186,17 Mar 2023 04:54:40.788,17 Mar 2023 05:03:01.508,500.720
187,17 Mar 2023 06:26:10.983,17 Mar 2023 06:35:34.312,563.329
188,17 Mar 2023 07:57:56.755,17 Mar 2023 08:08:43.377,646.623
189,17 Mar 2023 09:30:47.330,17 Mar 2023 09:42:07.220,679.889
190,17 Mar 2023 11:05:15.923,17 Mar 2023 11:15:29.684,613.762
191,17 Mar 2023 12:42:06.291,17 Mar 2023 12:48:20.336,374.045
192,17 Mar 2023 20:43:11.565,17 Mar 2023 20:50:41.668,450.103
193,17 Mar 2023 22:16:15.143,17 Mar 2023 22:26:54.195,639.052
194,17 Mar 2023 23:49:39.356,18 Mar 2023 00:00:58.895,679.539
195,18 Mar 2023 01:23:01.444,18 Mar 2023 01:33:32.254,630.810
196,18 Mar 2023 02:56:04.693,18 Mar 2023 03:05:09.762,545.069
197,18 Mar 2023 04:28:26.803,18 Mar 2023 04:36:44.412,497.609
198,18 Mar 2023 06:00:03.402,18 Mar 2023 06:09:03.023,539.621
199,18 Mar 2023 07:31:38.815,18 Mar 2023 07:42:04.194,625.379
200,18 Mar 2023 09:04:07.040,18 Mar 2023 09:15:25.578,678.539
201,18 Mar 2023 10:38:04.494,18 Mar 2023 10:48:50.153,645.659
202,18 Mar 2023 12:14:06.256,18 Mar 2023 12:21:56.711,470.456
203,18 Mar 2023 20:16:51.098,18 Mar 2023 20:22:36.111,345.012
204,18 Mar 2023 21:49:36.000,18 Mar 2023 21:59:40.240,604.240
205,18 Mar 2023 23:22:57.697,18 Mar 2023 23:34:16.748,679.052
206,19 Mar 2023 00:56:21.948,19 Mar 2023 01:07:13.099,651.151
207,19 Mar 2023 02:29:32.638,19 Mar 2023 02:39:01.980,569.342
208,19 Mar 2023 04:02:08.675,19 Mar 2023 04:10:31.328,502.653
209,19 Mar 2023 05:33:55.714,19 Mar 2023 05:42:35.307,519.593
210,19 Mar 2023 07:05:25.337,19 Mar 2023 07:15:26.598,601.262
211,19 Mar 2023 08:37:34.061,19 Mar 2023 08:48:44.201,670.140
212,19 Mar 2023 10:11:02.937,19 Mar 2023 10:22:09.427,666.490
213,19 Mar 2023 11:46:24.090,19 Mar 2023 11:55:24.891,540.801
214,19 Mar 2023 13:25:39.247,19 Mar 2023 13:26:41.367,62.120
215,19 Mar 2023 19:51:01.685,19 Mar 2023 19:53:49.619,167.934
216,19 Mar 2023 21:22:59.095,19 Mar 2023 21:32:14.994,555.899
217,19 Mar 2023 22:56:16.200,19 Mar 2023 23:07:26.452,670.252
218,20 Mar 2023 00:29:41.382,20 Mar 2023 00:40:48.321,666.939
219,20 Mar 2023 02:02:57.770,20 Mar 2023 02:12:52.500,594.731
220,20 Mar 2023 03:35:46.164,20 Mar 2023 03:44:21.419,515.254
221,20 Mar 2023 05:07:46.443,20 Mar 2023 05:16:11.679,505.235
222,20 Mar 2023 06:39:15.196,20 Mar 2023 06:48:51.091,575.895
223,20 Mar 2023 08:11:07.695,20 Mar 2023 08:22:03.425,655.731
224,20 Mar 2023 09:44:10.425,20 Mar 2023 09:55:28.028,677.603
225,20 Mar 2023 11:18:55.663,20 Mar 2023 11:28:48.771,593.108
226,20 Mar 2023 12:56:16.096,20 Mar 2023 13:01:26.044,309.948
227,20 Mar 2023 20:56:25.907,20 Mar 2023 21:04:36.670,490.763
228,20 Mar 2023 22:29:35.250,20 Mar 2023 22:40:27.319,652.069
229,21 Mar 2023 00:03:00.128,21 Mar 2023 00:14:17.125,676.997
230,21 Mar 2023 01:36:20.672,21 Mar 2023 01:46:40.002,619.331
231,21 Mar 2023 03:09:19.469,21 Mar 2023 03:18:13.455,533.985
232,21 Mar 2023 04:41:34.282,21 Mar 2023 04:49:52.412,498.130
233,21 Mar 2023 06:13:07.118,21 Mar 2023 06:22:18.250,551.132
234,21 Mar 2023 07:44:47.161,21 Mar 2023 07:55:23.607,636.446
235,21 Mar 2023 09:17:26.229,21 Mar 2023 09:28:46.381,680.152
236,21 Mar 2023 10:51:38.908,21 Mar 2023 11:02:10.112,631.204
237,21 Mar 2023 12:28:03.592,21 Mar 2023 12:35:09.972,426.380
238,21 Mar 2023 20:29:59.521,21 Mar 2023 20:36:41.920,402.399
239,21 Mar 2023 22:02:55.345,21 Mar 2023 22:13:18.546,623.201
240,21 Mar 2023 23:36:18.523,21 Mar 2023 23:47:38.795,680.272
241,22 Mar 2023 01:09:41.855,22 Mar 2023 01:20:23.317,641.462
242,22 Mar 2023 02:42:49.061,22 Mar 2023 02:52:05.987,556.926
243,22 Mar 2023 04:15:18.286,22 Mar 2023 04:23:37.397,499.111
244,22 Mar 2023 05:46:59.670,22 Mar 2023 05:55:48.676,529.006
245,22 Mar 2023 07:18:31.584,22 Mar 2023 07:28:45.160,613.576
246,22 Mar 2023 08:50:49.675,22 Mar 2023 09:02:04.828,675.152
247,22 Mar 2023 10:24:32.532,22 Mar 2023 10:35:29.899,657.367
248,22 Mar 2023 12:00:13.265,22 Mar 2023 12:08:41.511,508.246
249,22 Mar 2023 20:03:48.897,22 Mar 2023 20:08:21.589,272.691
250,22 Mar 2023 21:36:17.184,22 Mar 2023 21:45:59.118,581.934
251,22 Mar 2023 23:09:36.900,22 Mar 2023 23:20:52.655,675.755
252,23 Mar 2023 00:43:01.770,23 Mar 2023 00:54:01.460,659.690
253,23 Mar 2023 02:16:15.521,23 Mar 2023 02:25:57.531,582.010
254,23 Mar 2023 03:48:57.972,23 Mar 2023 03:57:26.036,508.064
255,23 Mar 2023 05:20:51.365,23 Mar 2023 05:29:22.944,511.579
256,23 Mar 2023 06:52:19.926,23 Mar 2023 07:02:08.539,588.613
257,23 Mar 2023 08:24:20.097,23 Mar 2023 08:35:23.707,663.610
258,23 Mar 2023 09:57:35.591,23 Mar 2023 10:08:48.780,673.188
259,23 Mar 2023 11:32:38.308,23 Mar 2023 11:42:07.233,568.925
260,23 Mar 2023 13:10:37.602,23 Mar 2023 13:14:22.533,224.932
261,23 Mar 2023 21:09:41.887,23 Mar 2023 21:18:27.622,525.736
262,23 Mar 2023 22:42:55.622,23 Mar 2023 22:53:58.040,662.418
263,24 Mar 2023 00:16:20.822,24 Mar 2023 00:27:33.567,672.745
