"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,17 Mar 2023 11:01:09.520,17 Mar 2023 11:10:11.033,541.513
81,17 Mar 2023 22:23:00.728,17 Mar 2023 22:29:44.898,404.170
82,17 Mar 2023 23:55:38.418,18 Mar 2023 00:04:38.212,539.794
83,18 Mar 2023 01:29:56.901,18 Mar 2023 01:34:34.077,277.176
84,18 Mar 2023 09:03:28.907,18 Mar 2023 09:09:36.116,367.209
85,18 Mar 2023 10:34:26.457,18 Mar 2023 10:43:28.711,542.254
86,18 Mar 2023 12:10:32.541,18 Mar 2023 12:15:18.699,286.158
87,18 Mar 2023 23:28:54.528,18 Mar 2023 23:37:58.443,543.915
88,19 Mar 2023 01:02:36.437,19 Mar 2023 01:09:33.719,417.282
89,19 Mar 2023 08:39:05.378,19 Mar 2023 08:41:46.161,160.783
90,19 Mar 2023 10:07:53.412,19 Mar 2023 10:16:47.751,534.339
91,19 Mar 2023 11:42:05.087,19 Mar 2023 11:49:44.433,459.346
92,19 Mar 2023 23:02:17.707,19 Mar 2023 23:11:08.626,530.919
93,20 Mar 2023 00:35:40.331,20 Mar 2023 00:43:56.007,495.676
94,20 Mar 2023 09:41:46.518,20 Mar 2023 09:50:05.836,499.319
95,20 Mar 2023 11:14:38.595,20 Mar 2023 11:23:27.102,528.507
96,20 Mar 2023 22:35:58.863,20 Mar 2023 22:43:44.984,466.121
97,21 Mar 2023 00:08:57.618,21 Mar 2023 00:17:50.749,533.131
98,21 Mar 2023 01:44:11.787,21 Mar 2023 01:46:21.442,129.654
99,21 Mar 2023 09:16:06.757,21 Mar 2023 09:23:10.788,424.032
100,21 Mar 2023 10:47:47.272,21 Mar 2023 10:56:51.271,543.999
101,21 Mar 2023 22:10:19.298,21 Mar 2023 22:15:23.685,304.387
102,21 Mar 2023 23:42:17.186,21 Mar 2023 23:51:19.182,541.997
103,22 Mar 2023 01:16:11.901,22 Mar 2023 01:22:10.151,358.250
104,22 Mar 2023 08:51:03.187,22 Mar 2023 08:55:52.801,289.613
105,22 Mar 2023 10:21:06.966,22 Mar 2023 10:30:07.230,540.264
106,22 Mar 2023 11:56:07.421,22 Mar 2023 12:02:40.840,393.419
107,22 Mar 2023 23:15:34.297,22 Mar 2023 23:24:36.672,542.375
108,23 Mar 2023 00:49:06.410,23 Mar 2023 00:56:48.519,462.109
109,23 Mar 2023 09:54:46.688,23 Mar 2023 10:03:28.259,521.571
110,23 Mar 2023 11:28:16.580,23 Mar 2023 11:36:38.726,502.145
111,23 Mar 2023 22:49:05.427,23 Mar 2023 22:57:31.901,506.475
112,24 Mar 2023 00:22:17.500,24 Mar 2023 00:30:56.681,519.181
113,24 Mar 2023 09:28:53.053,24 Mar 2023 09:36:40.205,467.152
114,24 Mar 2023 11:01:09.511,24 Mar 2023 11:10:11.032,541.520
115,24 Mar 2023 22:23:00.697,24 Mar 2023 22:29:44.905,404.208
116,24 Mar 2023 23:55:38.409,25 Mar 2023 00:04:38.204,539.795
117,25 Mar 2023 01:29:56.921,25 Mar 2023 01:34:34.034,277.113
118,25 Mar 2023 09:03:28.921,25 Mar 2023 09:09:36.088,367.167
119,25 Mar 2023 10:34:26.448,25 Mar 2023 10:43:28.704,542.256
120,25 Mar 2023 12:10:32.501,25 Mar 2023 12:15:18.731,286.230
121,25 Mar 2023 23:28:54.518,25 Mar 2023 23:37:58.436,543.918
122,26 Mar 2023 01:02:36.445,26 Mar 2023 01:09:33.700,417.255
123,26 Mar 2023 08:39:05.451,26 Mar 2023 08:41:46.081,160.631
124,26 Mar 2023 10:07:53.408,26 Mar 2023 10:16:47.745,534.337
125,26 Mar 2023 11:42:05.072,26 Mar 2023 11:49:44.443,459.371
126,26 Mar 2023 23:02:17.692,26 Mar 2023 23:11:08.619,530.927
127,27 Mar 2023 00:35:40.334,27 Mar 2023 00:43:55.992,495.658
128,27 Mar 2023 09:41:46.518,27 Mar 2023 09:50:05.826,499.308
129,27 Mar 2023 11:14:38.585,27 Mar 2023 11:23:27.103,528.518
130,27 Mar 2023 22:35:58.837,27 Mar 2023 22:43:44.987,466.150
131,28 Mar 2023 00:08:57.612,28 Mar 2023 00:17:50.738,533.127
132,28 Mar 2023 01:44:11.868,28 Mar 2023 01:46:21.320,129.452
133,28 Mar 2023 09:16:06.767,28 Mar 2023 09:23:10.765,423.998
134,28 Mar 2023 10:47:47.266,28 Mar 2023 10:56:51.264,543.998
135,28 Mar 2023 22:10:19.249,28 Mar 2023 22:15:23.707,304.459
136,28 Mar 2023 23:42:17.178,28 Mar 2023 23:51:19.176,541.998
137,29 Mar 2023 01:16:11.916,29 Mar 2023 01:22:10.124,358.207
138,29 Mar 2023 08:51:03.213,29 Mar 2023 08:55:52.762,289.549
139,29 Mar 2023 10:21:06.959,29 Mar 2023 10:30:07.222,540.263
140,29 Mar 2023 11:56:07.396,29 Mar 2023 12:02:40.860,393.463
141,29 Mar 2023 23:15:34.285,29 Mar 2023 23:24:36.663,542.378
142,30 Mar 2023 00:49:06.415,30 Mar 2023 00:56:48.502,462.087
143,30 Mar 2023 09:54:46.684,30 Mar 2023 10:03:28.250,521.567
144,30 Mar 2023 11:28:16.567,30 Mar 2023 11:36:38.732,502.165
145,30 Mar 2023 22:49:05.407,30 Mar 2023 22:57:31.899,506.492
146,31 Mar 2023 00:22:17.496,31 Mar 2023 00:30:56.672,519.176
147,31 Mar 2023 09:28:53.055,31 Mar 2023 09:36:40.188,467.133
148,31 Mar 2023 11:01:09.504,31 Mar 2023 11:10:11.030,541.526
149,31 Mar 2023 22:23:00.664,31 Mar 2023 22:29:44.911,404.247
150,31 Mar 2023 23:55:38.404,1 Apr 2023 00:00:00.000,261.596

