"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,16 Mar 2023 22:48:27.582,16 Mar 2023 22:58:14.175,586.593
81,17 Mar 2023 00:21:37.440,17 Mar 2023 00:31:21.464,584.025
82,17 Mar 2023 09:28:41.397,17 Mar 2023 09:37:25.558,524.161
83,17 Mar 2023 11:00:27.583,17 Mar 2023 11:10:50.626,623.044
84,17 Mar 2023 22:22:25.914,17 Mar 2023 22:30:15.387,469.474
85,17 Mar 2023 23:54:58.161,18 Mar 2023 00:05:15.262,617.101
86,18 Mar 2023 01:28:50.761,18 Mar 2023 01:34:35.506,344.746
87,18 Mar 2023 09:03:27.915,18 Mar 2023 09:10:31.232,423.317
88,18 Mar 2023 10:33:45.718,18 Mar 2023 10:44:10.079,624.361
89,18 Mar 2023 12:10:16.875,18 Mar 2023 12:15:50.037,333.162
90,18 Mar 2023 23:28:13.680,18 Mar 2023 23:38:39.377,625.697
91,19 Mar 2023 01:01:46.338,19 Mar 2023 01:09:38.341,472.002
92,19 Mar 2023 08:38:47.506,19 Mar 2023 08:43:14.222,266.716
93,19 Mar 2023 10:07:21.147,19 Mar 2023 10:17:26.957,605.810
94,19 Mar 2023 11:41:27.548,19 Mar 2023 11:50:20.823,533.275
95,19 Mar 2023 23:01:38.902,19 Mar 2023 23:11:51.830,612.927
96,20 Mar 2023 00:34:57.690,20 Mar 2023 00:44:13.691,556.001
97,20 Mar 2023 09:41:27.739,20 Mar 2023 09:50:48.068,560.330
98,20 Mar 2023 11:13:55.375,20 Mar 2023 11:24:05.732,610.357
99,20 Mar 2023 22:35:22.133,20 Mar 2023 22:44:23.316,541.182
100,21 Mar 2023 00:08:18.563,21 Mar 2023 00:18:22.207,603.644
101,21 Mar 2023 01:42:35.741,21 Mar 2023 01:46:47.598,251.858
102,21 Mar 2023 09:16:01.442,21 Mar 2023 09:24:00.156,478.714
103,21 Mar 2023 10:47:06.317,21 Mar 2023 10:57:31.924,625.607
104,21 Mar 2023 22:09:47.484,21 Mar 2023 22:15:41.767,354.283
105,21 Mar 2023 23:41:35.927,21 Mar 2023 23:51:59.877,623.951
106,22 Mar 2023 01:15:15.895,22 Mar 2023 01:22:10.708,414.813
107,22 Mar 2023 08:51:02.339,22 Mar 2023 08:56:57.259,354.920
108,22 Mar 2023 10:20:29.151,22 Mar 2023 10:30:47.591,618.440
109,22 Mar 2023 11:55:37.984,22 Mar 2023 12:03:15.543,457.559
110,22 Mar 2023 23:14:54.535,22 Mar 2023 23:25:18.279,623.744
111,23 Mar 2023 00:48:20.560,23 Mar 2023 00:56:59.378,518.818
112,23 Mar 2023 08:27:12.242,23 Mar 2023 08:28:59.048,106.806
113,23 Mar 2023 09:54:20.818,23 Mar 2023 10:04:07.968,587.150
114,23 Mar 2023 11:27:34.669,23 Mar 2023 11:37:16.374,581.705
115,23 Mar 2023 22:48:27.559,23 Mar 2023 22:58:14.175,586.616
116,24 Mar 2023 00:21:37.434,24 Mar 2023 00:31:21.451,584.017
117,24 Mar 2023 09:28:41.402,24 Mar 2023 09:37:25.544,524.142
118,24 Mar 2023 11:00:27.576,24 Mar 2023 11:10:50.626,623.051
119,24 Mar 2023 22:22:25.881,24 Mar 2023 22:30:15.394,469.512
120,24 Mar 2023 23:54:58.155,25 Mar 2023 00:05:15.252,617.097
121,25 Mar 2023 01:28:50.775,25 Mar 2023 01:34:35.471,344.696
122,25 Mar 2023 09:03:27.930,25 Mar 2023 09:10:31.209,423.280
123,25 Mar 2023 10:33:45.709,25 Mar 2023 10:44:10.072,624.363
124,25 Mar 2023 12:10:16.834,25 Mar 2023 12:15:50.077,333.243
125,25 Mar 2023 23:28:13.669,25 Mar 2023 23:38:39.372,625.703
126,26 Mar 2023 01:01:46.344,26 Mar 2023 01:09:38.317,471.973
127,26 Mar 2023 08:38:47.545,26 Mar 2023 08:43:14.175,266.630
128,26 Mar 2023 10:07:21.142,26 Mar 2023 10:17:26.948,605.805
129,26 Mar 2023 11:41:27.529,26 Mar 2023 11:50:20.839,533.311
130,26 Mar 2023 23:01:38.884,26 Mar 2023 23:11:51.824,612.940
131,27 Mar 2023 00:34:57.687,27 Mar 2023 00:44:13.676,555.990
132,27 Mar 2023 09:41:27.741,27 Mar 2023 09:50:48.058,560.317
133,27 Mar 2023 11:13:55.367,27 Mar 2023 11:24:05.738,610.372
134,27 Mar 2023 22:35:22.107,27 Mar 2023 22:44:23.320,541.213
135,28 Mar 2023 00:08:18.555,28 Mar 2023 00:18:22.198,603.643
136,28 Mar 2023 01:42:35.773,28 Mar 2023 01:46:47.548,251.775
137,28 Mar 2023 09:16:01.451,28 Mar 2023 09:24:00.136,478.685
138,28 Mar 2023 10:47:06.309,28 Mar 2023 10:57:31.920,625.611
139,28 Mar 2023 22:09:47.430,28 Mar 2023 22:15:41.794,354.365
140,28 Mar 2023 23:41:35.918,28 Mar 2023 23:51:59.869,623.950
141,29 Mar 2023 01:15:15.907,29 Mar 2023 01:22:10.679,414.772
142,29 Mar 2023 08:51:02.363,29 Mar 2023 08:56:57.231,354.868
143,29 Mar 2023 10:20:29.144,29 Mar 2023 10:30:47.586,618.442
144,29 Mar 2023 11:55:37.958,29 Mar 2023 12:03:15.565,457.607
145,29 Mar 2023 23:14:54.523,29 Mar 2023 23:25:18.272,623.749
146,30 Mar 2023 00:48:20.564,30 Mar 2023 00:56:59.361,518.797
147,30 Mar 2023 08:27:12.400,30 Mar 2023 08:28:58.881,106.482
148,30 Mar 2023 09:54:20.819,30 Mar 2023 10:04:07.960,587.141
149,30 Mar 2023 11:27:34.655,30 Mar 2023 11:37:16.385,581.731
150,30 Mar 2023 22:48:27.537,30 Mar 2023 22:58:14.171,586.634
151,31 Mar 2023 00:21:37.429,31 Mar 2023 00:31:21.440,584.011
152,31 Mar 2023 09:28:41.408,31 Mar 2023 09:37:25.530,524.122
153,31 Mar 2023 11:00:27.570,31 Mar 2023 11:10:50.626,623.056
154,31 Mar 2023 22:22:25.847,31 Mar 2023 22:30:15.402,469.556
155,31 Mar 2023 23:54:58.147,1 Apr 2023 00:00:00.000,301.853

